"Feature envy","A method that uses more methods or variables from another (unrelated) class than from its own class violates the principle of putting data and behavior in the same place.","recommendation","Method GetAllOptions is too closely tied to [[""Enumerable""|""file:///home/badgy/.nuget/packages/netstandard.library/2.0.3/build/netstandard2.0/ref/netstandard.dll:0:0:0:0""]]: 4 dependencies to it, but only 0 dependencies to its own type.","/src/SmartEnum/SmartEnum.cs","64","32","64","44"
"Feature envy","A method that uses more methods or variables from another (unrelated) class than from its own class violates the principle of putting data and behavior in the same place.","recommendation","Method CheckEnumListForPowersOfTwo is too closely tied to [[""List<>""|""file:///home/badgy/.nuget/packages/netstandard.library/2.0.3/build/netstandard2.0/ref/netstandard.dll:0:0:0:0""]]: 5 dependencies to it, but only 2 dependencies to its own type.","/src/SmartEnum/SmartFlagEngine.cs","129","29","129","55"
"Repeated conditionals","A conditional statement that occurs more than once within the same scope.","recommendation","Method FromValue implements the same conditional statement in multiple locations within the same scope.","/src/SmartEnum/SmartFlagEnum.cs","184","9","194","9"
"Non-short circuit","Not using short circuiting boolean operators can increase energy consumption.","warning","Operator ... | ... should be used with short circuiting","/src/SmartEnum/SmartEnumExtensions.cs","46","69","46","109"
"Non-short circuit","Not using short circuiting boolean operators can increase energy consumption.","warning","Operator ... | ... should be used with short circuiting","/src/SmartEnum/SmartFlagEngine.cs","208","75","209","37"
"Non-short circuit","Not using short circuiting boolean operators can increase energy consumption.","warning","Operator ... & ... should be used with short circuiting","/src/SmartEnum/SmartFlagEngine.cs","98","35","98","68"
"Non-short circuit","Not using short circuiting boolean operators can increase energy consumption.","warning","Operator ... & ... should be used with short circuiting","/src/SmartEnum/SmartFlagEngine.cs","171","33","171","51"
"Non-short circuit","Not using short circuiting boolean operators can increase energy consumption.","warning","Operator ... | ... should be used with short circuiting","/src/SmartEnum/TypeExtensions.cs","12","35","12","107"
"Non-short circuit","Not using short circuiting boolean operators can increase energy consumption.","warning","Operator ... | ... should be used with short circuiting","/src/SmartEnum/TypeExtensions.cs","12","35","12","75"
